,Country,Number,Month
155,          Croàcia  ,925.0,April
156,          Dinamarca  ,8949.0,April
157,          Eslovàquia  ,813.0,April
158,          Eslovènia  ,519.0,April
159,          Estònia  ,550.0,April
160,          Finlàndia  ,4826.0,April
161,          França  ,57928.0,April
162,          Grècia  ,2782.0,April
163,          Hongria  ,1830.0,April
164,          Irlanda  ,6053.0,April
165,          Itàlia  ,45990.0,April
166,          Letònia  ,239.0,April
167,          Lituània  ,695.0,April
168,          Luxemburg  ,573.0,April
169,          Malta  ,173.0,April
170,          Països Baixos  ,19755.0,April
171,          Polònia  ,7232.0,April
172,          Portugal  ,6742.0,April
173,          Regne Unit  ,64437.0,April
174,          Republica Checa  ,2104.0,April
175,          Romania  ,2553.0,April
176,          Suècia  ,10923.0,April
177,          Resta Unió Europea  ,3455.0,April
178,          Islàndia  ,288.0,April
179,          Liechtenstein  ,13.0,April
180,          Noruega  ,7647.0,April
181,          Rússia  ,8388.0,April
182,          Suïssa  ,13602.0,April
183,          Turquia  ,4226.0,April
184,          Ucraïna  ,1536.0,April
185,          Resta d'Europa  ,7814.0,April
186,          Argentina  ,6010.0,April
187,          Brasil  ,5187.0,April
188,          Canada  ,6235.0,April
189,          Estats Units  ,48016.0,April
190,          Mèxic  ,3114.0,April
191,          Resta d'Amèrica   ,13317.0,April
192,          Sudàfrica  ,693.0,April
193,          Resta d'Àfrica  ,9555.0,April
194,          Japó  ,11455.0,April
195,          Xina  ,8650.0,April
196,          Corea Del Sud  ,2113.0,April
197,          Resta d'Àsia  ,21114.0,April
198,          Austràlia  ,4908.0,April
199,          Resta del món  ,23814.0,April
200,          Alemanya  ,44546.0,May
201,          Àustria  ,7495.0,May
202,          Bèlgica  ,11849.0,May
203,          Bulgària  ,1031.0,May
204,          Xipre  ,269.0,May
205,          Croàcia  ,881.0,May
206,          Dinamarca  ,6897.0,May
207,          Eslovàquia  ,791.0,May
208,          Eslovènia  ,298.0,May
209,          Estònia  ,735.0,May
210,          Finlàndia  ,5257.0,May
211,          França  ,55492.0,May
212,          Grècia  ,2729.0,May
213,          Hongria  ,1406.0,May
214,          Irlanda  ,6350.0,May
215,          Itàlia  ,34921.0,May
216,          Letònia  ,466.0,May
217,          Lituània  ,713.0,May
218,          Luxemburg  ,627.0,May
219,          Malta  ,375.0,May
220,          Països Baixos  ,18143.0,May
221,          Polònia  ,5944.0,May
222,          Portugal  ,7234.0,May
223,          Regne Unit  ,61406.0,May
224,          Republica Checa  ,2214.0,May
225,          Romania  ,1945.0,May
226,          Suècia  ,11791.0,May
227,          Resta Unió Europea  ,2947.0,May
228,          Islàndia  ,414.0,May
229,          Liechtenstein  ,119.0,May
230,          Noruega  ,8873.0,May
231,          Rússia  ,8287.0,May
