,Country,Number,Month
0,Nombre de viatgers            ,503.179,January
1,     residents a Espanya       ,130.007,January
2,     residents a l'estranger       ,373.172,January
3,          Alemanya  ,23.374,January
4,          Àustria  ,2.967,January
5,          Bèlgica  ,7.922,January
6,          Bulgària  ,655.0,January
7,          Xipre  ,668.0,January
8,          Croàcia  ,345.0,January
9,          Dinamarca  ,3.542,January
10,          Eslovàquia  ,285.0,January
11,          Eslovènia  ,291.0,January
12,          Estònia  ,273.0,January
13,          Finlàndia  ,2.779,January
14,          França  ,44.105,January
15,          Grècia  ,2.513,January
16,          Hongria  ,976.0,January
17,          Irlanda  ,4.871,January
18,          Itàlia  ,37.248,January
19,          Letònia  ,499.0,January
20,          Lituània  ,548.0,January
21,          Luxemburg  ,331.0,January
22,          Malta  ,279.0,January
23,          Països Baixos  ,12.108,January
24,          Polònia  ,5.045,January
25,          Portugal  ,6.595,January
26,          Regne Unit  ,35.496,January
27,          Republica Checa  ,1.091,January
28,          Romania  ,2.201,January
29,          Suècia  ,4.734,January
30,          Resta Unió Europea  ,3.366,January
31,          Islàndia  ,204.0,January
32,          Liechtenstein  ,86.0,January
33,          Noruega  ,2.558,January
34,          Rússia  ,10.584,January
35,          Suïssa  ,6.512,January
36,          Turquia  ,2.846,January
37,          Ucraïna  ,1.09,January
38,          Resta d'Europa  ,6.889,January
39,          Argentina  ,6.512,January
40,          Brasil  ,7.663,January
41,          Canada  ,2.929,January
42,          Estats Units  ,24.933,January
43,          Mèxic  ,1.862,January
44,          Resta d'Amèrica   ,13.554,January
45,          Sudàfrica  ,726.0,January
46,          Resta d'Àfrica  ,13.275,January
47,          Japó  ,12.562,January
48,          Xina  ,10.219,January
49,          Corea Del Sud  ,5.882,January
50,          Resta d'Àsia  ,16.986,January
51,          Austràlia  ,3.43,January
52,          Resta del món  ,16.763,January
53,Nombre de viatgers            ,529.01,February
54,     residents a Espanya       ,130.659,February
55,     residents a l'estranger       ,398.351,February
56,          Alemanya  ,26.589,February
57,          Àustria  ,3.781,February
58,          Bèlgica  ,7.681,February
59,          Bulgària  ,825.0,February
60,          Xipre  ,231.0,February
61,          Croàcia  ,281.0,February
62,          Dinamarca  ,4.247,February
63,          Eslovàquia  ,705.0,February
64,          Eslovènia  ,370.0,February
65,          Estònia  ,206.0,February
66,          Finlàndia  ,3.214,February
67,          França  ,50.417,February
68,          Grècia  ,2.627,February
69,          Hongria  ,1.601,February
70,          Irlanda  ,5.45,February
71,          Itàlia  ,31.692,February
72,          Letònia  ,319.0,February
73,          Lituània  ,554.0,February
74,          Luxemburg  ,414.0,February
75,          Malta  ,524.0,February
76,          Països Baixos  ,12.056,February
77,          Polònia  ,4.636,February
78,          Portugal  ,6.87,February
79,          Regne Unit  ,48.609,February
80,          Republica Checa  ,1.406,February
81,          Romania  ,3.04,February
82,          Suècia  ,6.066,February
83,          Resta Unió Europea  ,3.269,February
84,          Islàndia  ,339.0,February
85,          Liechtenstein  ,30.0,February
86,          Noruega  ,3.534,February
87,          Rússia  ,9.604,February
