,Country,Number,Month
88,          Suïssa  ,7.938,February
89,          Turquia  ,3.223,February
90,          Ucraïna  ,1.177,February
91,          Resta d'Europa  ,8.659,February
92,          Argentina  ,5.439,February
93,          Brasil  ,6.403,February
94,          Canada  ,3.611,February
95,          Estats Units  ,27.448,February
96,          Mèxic  ,2.274,February
97,          Resta d'Amèrica   ,12.735,February
98,          Sudàfrica  ,559.0,February
99,          Resta d'Àfrica  ,8.669,February
100,          Japó  ,14.594,February
101,          Xina  ,14.301,February
102,          Corea Del Sud  ,4.762,February
103,          Resta d'Àsia  ,17.751,February
104,          Austràlia  ,2.126,February
105,          Resta del món  ,15.495,February
106,Nombre de viatgers            ,650.038,March
107,     residents a Espanya       ,151.358,March
108,     residents a l'estranger       ,498.68,March
109,          Alemanya  ,42.17,March
110,          Àustria  ,4.984,March
111,          Bèlgica  ,10.358,March
112,          Bulgària  ,981.0,March
113,          Xipre  ,337.0,March
114,          Croàcia  ,377.0,March
115,          Dinamarca  ,7.654,March
116,          Eslovàquia  ,578.0,March
117,          Eslovènia  ,458.0,March
118,          Estònia  ,456.0,March
119,          Finlàndia  ,4.222,March
120,          França  ,53.468,March
121,          Grècia  ,2.824,March
122,          Hongria  ,2.226,March
123,          Irlanda  ,5.932,March
124,          Itàlia  ,40.192,March
125,          Letònia  ,494.0,March
126,          Lituània  ,721.0,March
127,          Luxemburg  ,767.0,March
128,          Malta  ,289.0,March
129,          Països Baixos  ,13.958,March
130,          Polònia  ,6.1,March
131,          Portugal  ,7.619,March
132,          Regne Unit  ,55.489,March
133,          Republica Checa  ,1.568,March
134,          Romania  ,2.888,March
135,          Suècia  ,9.199,March
136,          Resta Unió Europea  ,6.38,March
137,          Islàndia  ,405.0,March
138,          Liechtenstein  ,268.0,March
139,          Noruega  ,5.229,March
140,          Rússia  ,11.66,March
141,          Suïssa  ,10.09,March
142,          Turquia  ,3.424,March
143,          Ucraïna  ,1.92,March
144,          Resta d'Europa  ,9.095,March
145,          Argentina  ,6.652,March
146,          Brasil  ,6.987,March
147,          Canada  ,6.039,March
148,          Estats Units  ,48.844,March
149,          Mèxic  ,2.708,March
150,          Resta d'Amèrica   ,15.618,March
151,          Sudàfrica  ,763.0,March
152,          Resta d'Àfrica  ,10.083,March
153,          Japó  ,17.993,March
154,          Xina  ,8.057,March
155,          Corea Del Sud  ,2.712,March
156,          Resta d'Àsia  ,23.197,March
157,          Austràlia  ,3.346,March
158,          Resta del món  ,20.901,March
159,Nombre de viatgers            ,714.073,April
160,     residents a Espanya       ,131.186,April
161,     residents a l'estranger       ,582.887,April
162,          Alemanya  ,47.11,April
163,          Àustria  ,7.501,April
164,          Bèlgica  ,15.66,April
165,          Bulgària  ,1.391,April
166,          Xipre  ,184.0,April
167,          Croàcia  ,442.0,April
168,          Dinamarca  ,8.22,April
169,          Eslovàquia  ,632.0,April
170,          Eslovènia  ,494.0,April
171,          Estònia  ,389.0,April
172,          Finlàndia  ,4.202,April
173,          França  ,60.478,April
174,          Grècia  ,3.648,April
175,          Hongria  ,2.145,April
176,          Irlanda  ,5.774,April
177,          Itàlia  ,46.217,April
178,          Letònia  ,516.0,April
179,          Lituània  ,819.0,April
180,          Luxemburg  ,758.0,April
181,          Malta  ,331.0,April
182,          Països Baixos  ,18.257,April
183,          Polònia  ,6.753,April
184,          Portugal  ,10.825,April
185,          Regne Unit  ,66.262,April
186,          Republica Checa  ,2.584,April
187,          Romania  ,3.397,April
188,          Suècia  ,13.402,April
189,          Resta Unió Europea  ,4.002,April
190,          Islàndia  ,414.0,April
191,          Liechtenstein  ,108.0,April
192,          Noruega  ,7.364,April
193,          Rússia  ,10.883,April
194,          Suïssa  ,17.221,April
195,          Turquia  ,3.997,April
196,          Ucraïna  ,1.75,April
197,          Resta d'Europa  ,8.714,April
198,          Argentina  ,7.831,April
199,          Brasil  ,7.586,April
200,          Canada  ,7.087,April
201,          Estats Units  ,61.673,April
202,          Mèxic  ,4.46,April
203,          Resta d'Amèrica   ,18.56,April
204,          Sudàfrica  ,1.236,April
205,          Resta d'Àfrica  ,10.373,April
206,          Japó  ,12.381,April
207,          Xina  ,10.33,April
208,          Corea Del Sud  ,3.216,April
209,          Resta d'Àsia  ,24.897,April
210,          Austràlia  ,5.657,April
211,          Resta del món  ,24.756,April
212,Nombre de viatgers            ,716.978,May
213,     residents a Espanya       ,118.752,May
214,     residents a l'estranger       ,598.226,May
215,          Alemanya  ,44.517,May
216,          Àustria  ,6.919,May
217,          Bèlgica  ,12.707,May
218,          Bulgària  ,897.0,May
219,          Xipre  ,375.0,May
220,          Croàcia  ,518.0,May
221,          Dinamarca  ,7.956,May
222,          Eslovàquia  ,603.0,May
223,          Eslovènia  ,415.0,May
224,          Estònia  ,747.0,May
225,          Finlàndia  ,6.136,May
226,          França  ,52.74,May
227,          Grècia  ,2.722,May
228,          Hongria  ,1.437,May
229,          Irlanda  ,6.227,May
230,          Itàlia  ,39.918,May
231,          Letònia  ,392.0,May
232,          Lituània  ,590.0,May
233,          Luxemburg  ,528.0,May
234,          Malta  ,457.0,May
235,          Països Baixos  ,19.208,May
236,          Polònia  ,7.272,May
237,          Portugal  ,8.49,May
238,          Regne Unit  ,64.568,May
239,          Republica Checa  ,2.483,May
240,          Romania  ,2.575,May
241,          Suècia  ,16.381,May
242,          Resta Unió Europea  ,2.937,May
243,          Islàndia  ,652.0,May
244,          Liechtenstein  ,199.0,May
245,          Noruega  ,8.41,May
246,          Rússia  ,11.029,May
247,          Suïssa  ,12.741,May
248,          Turquia  ,4.616,May
249,          Ucraïna  ,1.19,May
250,          Resta d'Europa  ,7.24,May
251,          Argentina  ,9.435,May
252,          Brasil  ,7.619,May
253,          Canada  ,13.229,May
254,          Estats Units  ,87.109,May
255,          Mèxic  ,4.488,May
256,          Resta d'Amèrica   ,22.749,May
257,          Sudàfrica  ,1.216,May
258,          Resta d'Àfrica  ,7.431,May
259,          Japó  ,14.018,May
260,          Xina  ,11.446,May
261,          Corea Del Sud  ,5.56,May
262,          Resta d'Àsia  ,25.292,May
263,          Austràlia  ,9.917,May
264,          Resta del món  ,21.925,May
265,Nombre de viatgers            ,713.203,June
266,     residents a Espanya       ,128.405,June
267,     residents a l'estranger       ,584.798,June
268,          Alemanya  ,43.977,June
269,          Àustria  ,5.956,June
270,          Bèlgica  ,11.502,June
271,          Bulgària  ,818.0,June
272,          Xipre  ,342.0,June
273,          Croàcia  ,346.0,June
274,          Dinamarca  ,7.031,June
275,          Eslovàquia  ,417.0,June
276,          Eslovènia  ,305.0,June
277,          Estònia  ,332.0,June
278,          Finlàndia  ,4.787,June
279,          França  ,48.66,June
280,          Grècia  ,2.348,June
281,          Hongria  ,1.436,June
282,          Irlanda  ,6.616,June
283,          Itàlia  ,42.467,June
284,          Letònia  ,1.262,June
285,          Lituània  ,592.0,June
286,          Luxemburg  ,569.0,June
287,          Malta  ,241.0,June
288,          Països Baixos  ,16.287,June
289,          Polònia  ,5.535,June
290,          Portugal  ,8.308,June
291,          Regne Unit  ,70.34,June
292,          Republica Checa  ,2.549,June
293,          Romania  ,2.897,June
294,          Suècia  ,11.545,June
295,          Resta Unió Europea  ,3.141,June
296,          Islàndia  ,874.0,June
297,          Liechtenstein  ,59.0,June
298,          Noruega  ,8.327,June
299,          Rússia  ,12.209,June
300,          Suïssa  ,13.981,June
301,          Turquia  ,3.195,June
302,          Ucraïna  ,1.396,June
303,          Resta d'Europa  ,7.448,June
304,          Argentina  ,10.333,June
305,          Brasil  ,7.934,June
306,          Canada  ,10.986,June
307,          Estats Units  ,88.866,June
308,          Mèxic  ,4.894,June
309,          Resta d'Amèrica   ,24.465,June
310,          Sudàfrica  ,994.0,June
311,          Resta d'Àfrica  ,5.721,June
312,          Japó  ,13.58,June
313,          Xina  ,10.954,June
314,          Corea Del Sud  ,3.064,June
315,          Resta d'Àsia  ,20.239,June
316,          Austràlia  ,11.423,June
317,          Resta del món  ,23.25,June
318,Nombre de viatgers            ,771.866,July
319,     residents a Espanya       ,137.56,July
320,     residents a l'estranger       ,634.306,July
321,          Alemanya  ,36.067,July
322,          Àustria  ,5.849,July
323,          Bèlgica  ,13.665,July
324,          Bulgària  ,596.0,July
325,          Xipre  ,781.0,July
326,          Croàcia  ,518.0,July
327,          Dinamarca  ,9.675,July
328,          Eslovàquia  ,391.0,July
329,          Eslovènia  ,308.0,July
330,          Estònia  ,514.0,July
331,          Finlàndia  ,6.104,July
332,          França  ,56.343,July
333,          Grècia  ,2.885,July
334,          Hongria  ,1.221,July
335,          Irlanda  ,6.953,July
336,          Itàlia  ,38.313,July
337,          Letònia  ,447.0,July
338,          Lituània  ,419.0,July
339,          Luxemburg  ,629.0,July
340,          Malta  ,311.0,July
341,          Països Baixos  ,18.507,July
342,          Polònia  ,5.086,July
343,          Portugal  ,8.517,July
344,          Regne Unit  ,69.412,July
345,          Republica Checa  ,1.933,July
346,          Romania  ,2.856,July
347,          Suècia  ,14.989,July
348,          Resta Unió Europea  ,2.316,July
349,          Islàndia  ,695.0,July
350,          Liechtenstein  ,51.0,July
351,          Noruega  ,14.687,July
352,          Rússia  ,15.675,July
353,          Suïssa  ,14.0,July
354,          Turquia  ,3.268,July
355,          Ucraïna  ,1.525,July
356,          Resta d'Europa  ,8.366,July
357,          Argentina  ,10.735,July
358,          Brasil  ,9.101,July
359,          Canada  ,12.957,July
360,          Estats Units  ,87.087,July
361,          Mèxic  ,7.848,July
362,          Resta d'Amèrica   ,24.652,July
363,          Sudàfrica  ,1.565,July
364,          Resta d'Àfrica  ,16.962,July
365,          Japó  ,10.645,July
366,          Xina  ,12.426,July
367,          Corea Del Sud  ,3.628,July
368,          Resta d'Àsia  ,28.492,July
369,          Austràlia  ,13.967,July
370,          Resta del món  ,30.369,July
371,Nombre de viatgers            ,693.682,August
372,     residents a Espanya       ,92.632,Augusr
373,     residents a l'estranger       ,601.05,August
374,          Alemanya  ,30.312,Augusr
375,          Àustria  ,5.136,August
376,          Bèlgica  ,12.052,Augusr
377,          Bulgària  ,570.0,August
378,          Xipre  ,984.0,Augusr
379,          Croàcia  ,402.0,August
380,          Dinamarca  ,5.77,Augusr
381,          Eslovàquia  ,628.0,August
382,          Eslovènia  ,313.0,Augusr
383,          Estònia  ,640.0,August
384,          Finlàndia  ,3.391,Augusr
385,          França  ,73.206,August
386,          Grècia  ,2.914,Augusr
387,          Hongria  ,1.684,August
388,          Irlanda  ,7.011,Augusr
389,          Itàlia  ,46.848,August
390,          Letònia  ,1.265,Augusr
391,          Lituània  ,550.0,August
392,          Luxemburg  ,680.0,Augusr
393,          Malta  ,441.0,August
394,          Països Baixos  ,19.085,Augusr
395,          Polònia  ,4.487,August
396,          Portugal  ,9.168,Augusr
397,          Regne Unit  ,60.506,August
398,          Republica Checa  ,1.928,Augusr
399,          Romania  ,3.824,August
400,          Suècia  ,11.297,Augusr
401,          Resta Unió Europea  ,2.872,August
402,          Islàndia  ,924.0,Augusr
403,          Liechtenstein  ,324.0,August
404,          Noruega  ,7.001,Augusr
405,          Rússia  ,16.027,August
406,          Suïssa  ,10.971,Augusr
407,          Turquia  ,3.553,August
408,          Ucraïna  ,1.828,Augusr
409,          Resta d'Europa  ,9.026,August
410,          Argentina  ,9.812,Augusr
411,          Brasil  ,6.98,August
412,          Canada  ,12.257,Augusr
413,          Estats Units  ,68.187,August
414,          Mèxic  ,5.053,Augusr
415,          Resta d'Amèrica   ,22.452,August
416,          Sudàfrica  ,1.157,Augusr
417,          Resta d'Àfrica  ,14.179,August
418,          Japó  ,14.746,Augusr
419,          Xina  ,12.316,August
420,          Corea Del Sud  ,3.383,Augusr
421,          Resta d'Àsia  ,31.346,August
422,          Austràlia  ,11.46,Augusr
423,          Resta del món  ,30.104,August
424,Nombre de viatgers            ,684.652,September
425,     residents a Espanya       ,116.521,September
426,     residents a l'estranger       ,568.131,September
427,          Alemanya  ,40.092,September
428,          Àustria  ,6.528,September
429,          Bèlgica  ,13.05,September
430,          Bulgària  ,694.0,September
431,          Xipre  ,215.0,September
432,          Croàcia  ,489.0,September
433,          Dinamarca  ,8.29,September
434,          Eslovàquia  ,614.0,September
435,          Eslovènia  ,327.0,September
436,          Estònia  ,730.0,September
437,          Finlàndia  ,4.523,September
438,          França  ,39.591,September
439,          Grècia  ,2.271,September
440,          Hongria  ,1.452,September
441,          Irlanda  ,6.164,September
442,          Itàlia  ,33.388,September
443,          Letònia  ,270.0,September
444,          Lituània  ,415.0,September
445,          Luxemburg  ,555.0,September
446,          Malta  ,267.0,September
447,          Països Baixos  ,16.231,September
448,          Polònia  ,5.51,September
449,          Portugal  ,7.686,September
450,          Regne Unit  ,64.712,September
451,          Republica Checa  ,2.628,September
452,          Romania  ,2.455,September
453,          Suècia  ,12.53,September
454,          Resta Unió Europea  ,2.656,September
455,          Islàndia  ,819.0,September
456,          Liechtenstein  ,78.0,September
457,          Noruega  ,8.258,September
458,          Rússia  ,12.258,September
459,          Suïssa  ,11.922,September
460,          Turquia  ,3.45,September
461,          Ucraïna  ,1.323,September
462,          Resta d'Europa  ,8.591,September
463,          Argentina  ,11.938,September
464,          Brasil  ,7.653,September
465,          Canada  ,13.641,September
466,          Estats Units  ,87.808,September
467,          Mèxic  ,4.905,September
468,          Resta d'Amèrica   ,19.688,September
469,          Sudàfrica  ,1.205,September
470,          Resta d'Àfrica  ,8.745,September
471,          Japó  ,14.936,September
472,          Xina  ,9.64,September
473,          Corea Del Sud  ,3.533,September
474,          Resta d'Àsia  ,24.877,September
475,          Austràlia  ,11.388,September
476,          Resta del món  ,27.142,September
477,Nombre de viatgers            ,657.06,October
478,     residents a Espanya       ,125.4,October
479,     residents a l'estranger       ,531.66,October
480,          Alemanya  ,39.159,October
481,          Àustria  ,6.395,October
482,          Bèlgica  ,9.653,October
483,          Bulgària  ,949.0,October
484,          Xipre  ,290.0,October
485,          Croàcia  ,448.0,October
486,          Dinamarca  ,7.323,October
487,          Eslovàquia  ,466.0,October
488,          Eslovènia  ,261.0,October
489,          Estònia  ,372.0,October
490,          Finlàndia  ,5.431,October
491,          França  ,43.713,October
492,          Grècia  ,3.519,October
493,          Hongria  ,1.855,October
494,          Irlanda  ,5.21,October
495,          Itàlia  ,31.645,October
496,          Letònia  ,450.0,October
497,          Lituània  ,532.0,October
498,          Luxemburg  ,372.0,October
499,          Malta  ,444.0,October
500,          Països Baixos  ,18.013,October
501,          Polònia  ,5.684,October
502,          Portugal  ,9.117,October
503,          Regne Unit  ,52.356,October
504,          Republica Checa  ,1.497,October
505,          Romania  ,2.53,October
506,          Suècia  ,10.182,October
507,          Resta Unió Europea  ,3.007,October
508,          Islàndia  ,799.0,October
509,          Liechtenstein  ,87.0,October
510,          Noruega  ,7.255,October
511,          Rússia  ,11.619,October
512,          Suïssa  ,12.119,October
513,          Turquia  ,2.954,October
514,          Ucraïna  ,1.61,October
515,          Resta d'Europa  ,8.789,October
516,          Argentina  ,9.775,October
517,          Brasil  ,7.895,October
518,          Canada  ,10.701,October
519,          Estats Units  ,71.937,October
520,          Mèxic  ,4.743,October
521,          Resta d'Amèrica   ,21.626,October
522,          Sudàfrica  ,770.0,October
523,          Resta d'Àfrica  ,8.45,October
524,          Japó  ,13.848,October
525,          Xina  ,12.858,October
526,          Corea Del Sud  ,4.028,October
527,          Resta d'Àsia  ,21.529,October
528,          Austràlia  ,7.374,October
529,          Resta del món  ,30.021,October
530,Nombre de viatgers            ,532.369,November
531,     residents a Espanya       ,140.384,November
532,     residents a l'estranger       ,391.985,November
533,          Alemanya  ,29.153,November
534,          Àustria  ,2.872,November
535,          Bèlgica  ,8.461,November
536,          Bulgària  ,1.028,November
537,          Xipre  ,336.0,November
538,          Croàcia  ,391.0,November
539,          Dinamarca  ,4.481,November
540,          Eslovàquia  ,443.0,November
541,          Eslovènia  ,220.0,November
542,          Estònia  ,315.0,November
543,          Finlàndia  ,3.119,November
544,          França  ,38.621,November
545,          Grècia  ,2.349,November
546,          Hongria  ,1.597,November
547,          Irlanda  ,4.5,November
548,          Itàlia  ,30.484,November
549,          Letònia  ,323.0,November
550,          Lituània  ,543.0,November
551,          Luxemburg  ,327.0,November
552,          Malta  ,210.0,November
553,          Països Baixos  ,12.365,November
554,          Polònia  ,5.602,November
555,          Portugal  ,7.41,November
556,          Regne Unit  ,38.783,November
557,          Republica Checa  ,2.045,November
558,          Romania  ,2.634,November
559,          Suècia  ,6.544,November
560,          Resta Unió Europea  ,4.743,November
561,          Islàndia  ,350.0,November
562,          Liechtenstein  ,44.0,November
563,          Noruega  ,4.627,November
564,          Rússia  ,9.867,November
565,          Suïssa  ,7.112,November
566,          Turquia  ,3.528,November
567,          Ucraïna  ,1.052,November
568,          Resta d'Europa  ,7.067,November
569,          Argentina  ,7.178,November
570,          Brasil  ,5.578,November
571,          Canada  ,5.226,November
572,          Estats Units  ,43.166,November
573,          Mèxic  ,2.829,November
574,          Resta d'Amèrica   ,14.649,November
575,          Sudàfrica  ,569.0,November
576,          Resta d'Àfrica  ,7.165,November
577,          Japó  ,11.33,November
578,          Xina  ,7.783,November
579,          Corea Del Sud  ,4.26,November
580,          Resta d'Àsia  ,18.674,November
581,          Austràlia  ,3.452,November
582,          Resta del món  ,16.58,November
583,Nombre de viatgers            ,490.637,December
584,     residents a Espanya       ,134.969,December
585,     residents a l'estranger       ,355.668,December
586,          Alemanya  ,19.205,December
587,          Àustria  ,2.381,December
588,          Bèlgica  ,7.043,December
589,          Bulgària  ,629.0,December
590,          Xipre  ,257.0,December
591,          Croàcia  ,293.0,December
592,          Dinamarca  ,2.736,December
593,          Eslovàquia  ,327.0,December
594,          Eslovènia  ,197.0,December
595,          Estònia  ,97.0,December
596,          Finlàndia  ,2.11,December
597,          França  ,48.436,December
598,          Grècia  ,2.043,December
599,          Hongria  ,971.0,December
600,          Irlanda  ,3.202,December
601,          Itàlia  ,39.207,December
602,          Letònia  ,272.0,December
603,          Lituània  ,538.0,December
604,          Luxemburg  ,282.0,December
605,          Malta  ,140.0,December
606,          Països Baixos  ,9.419,December
607,          Polònia  ,3.885,December
608,          Portugal  ,7.188,December
609,          Regne Unit  ,31.344,December
610,          Republica Checa  ,1.184,December
611,          Romania  ,1.592,December
612,          Suècia  ,5.136,December
613,          Resta Unió Europea  ,2.851,December
614,          Islàndia  ,229.0,December
615,          Liechtenstein  ,21.0,December
616,          Noruega  ,2.573,December
617,          Rússia  ,8.664,December
618,          Suïssa  ,6.574,December
619,          Turquia  ,2.396,December
620,          Ucraïna  ,1.078,December
621,          Resta d'Europa  ,6.301,December
622,          Argentina  ,4.071,December
623,          Brasil  ,6.435,December
624,          Canada  ,2.745,December
625,          Estats Units  ,29.911,December
626,          Mèxic  ,2.741,December
627,          Resta d'Amèrica   ,13.633,December
628,          Sudàfrica  ,819.0,December
629,          Resta d'Àfrica  ,9.081,December
630,          Japó  ,9.617,December
631,          Xina  ,7.812,December
632,          Corea Del Sud  ,3.587,December
633,          Resta d'Àsia  ,22.383,December
634,          Austràlia  ,3.736,December
635,          Resta del món  ,18.296,December
