,Country,Number,Month
0,Number of visitors,507318.0,January
1,     residents a Espanya       ,126214.0,January
2,     residents a l'estranger       ,381104.0,January
3,          Alemanya  ,24885.0,January
4,          Àustria  ,2705.0,January
5,          Bèlgica  ,8075.0,January
6,          Bulgària  ,575.0,January
7,          Xipre  ,244.0,January
8,          Croàcia  ,499.0,January
9,          Dinamarca  ,3653.0,January
10,          Eslovàquia  ,642.0,January
11,          Eslovènia  ,260.0,January
12,          Estònia  ,282.0,January
13,          Finlàndia  ,2113.0,January
14,          França  ,47337.0,January
15,          Grècia  ,2303.0,January
16,          Hongria  ,1171.0,January
17,          Irlanda  ,5207.0,January
18,          Itàlia  ,36185.0,January
19,          Letònia  ,543.0,January
20,          Lituània  ,707.0,January
21,          Luxemburg  ,279.0,January
22,          Malta  ,109.0,January
23,          Països Baixos  ,13223.0,January
24,          Polònia  ,4770.0,January
25,          Portugal  ,7352.0,January
26,          Regne Unit  ,34574.0,January
27,          República Txeca  ,1329.0,January
28,          Romania  ,2139.0,January
29,          Suècia  ,5744.0,January
30,          Resta Unió Europea  ,2534.0,January
31,          Islàndia  ,281.0,January
32,          Liechtenstein  ,40.0,January
33,          Noruega  ,2202.0,January
34,          Rússia  ,13232.0,January
35,          Suïssa  ,6754.0,January
36,          Turquia  ,3472.0,January
37,          Ucraïna  ,1913.0,January
38,          Resta d'Europa  ,6855.0,January
39,          Argentina  ,7713.0,January
40,          Brasil  ,8312.0,January
41,          Canada  ,2623.0,January
42,          Estats Units  ,29515.0,January
43,          Mèxic  ,2070.0,January
44,          Resta d'Amèrica   ,16205.0,January
45,          Sud-àfrica  ,631.0,January
46,          Resta d'Àfrica  ,9297.0,January
47,          Japó  ,8821.0,January
48,          Xina  ,6800.0,January
49,          Corea Del Sud  ,5497.0,January
50,          Resta d'Àsia  ,17542.0,January
51,          Austràlia  ,2969.0,January
52,          Resta del món  ,18921.0,January
53,Nombre de viatgers            ,535962.0,February
54,     residents a Espanya       ,128399.0,February
55,     residents a l'estranger       ,407563.0,February
56,          Alemanya  ,28596.0,February
57,          Àustria  ,3376.0,February
58,          Bèlgica  ,10249.0,February
59,          Bulgària  ,789.0,February
60,          Xipre  ,427.0,February
61,          Croàcia  ,461.0,February
62,          Dinamarca  ,4338.0,February
63,          Eslovàquia  ,473.0,February
64,          Eslovènia  ,418.0,February
65,          Estònia  ,236.0,February
66,          Finlàndia  ,3297.0,February
67,          França  ,42726.0,February
68,          Grècia  ,2109.0,February
69,          Hongria  ,1754.0,February
70,          Irlanda  ,4525.0,February
71,          Itàlia  ,33658.0,February
72,          Letònia  ,405.0,February
73,          Lituània  ,392.0,February
74,          Luxemburg  ,706.0,February
75,          Malta  ,203.0,February
76,          Països Baixos  ,11969.0,February
77,          Polònia  ,4821.0,February
78,          Portugal  ,8455.0,February
79,          Regne Unit  ,44261.0,February
80,          República Txeca  ,1847.0,February
81,          Romania  ,2954.0,February
82,          Suècia  ,6686.0,February
83,          Resta Unió Europea  ,2333.0,February
84,          Islàndia  ,293.0,February
85,          Liechtenstein  ,69.0,February
86,          Noruega  ,4178.0,February
87,          Rússia  ,10385.0,February
88,          Suïssa  ,7264.0,February
89,          Turquia  ,3020.0,February
90,          Ucraïna  ,1593.0,February
91,          Resta d'Europa  ,6470.0,February
92,          Argentina  ,7358.0,February
93,          Brasil  ,8785.0,February
94,          Canada  ,3131.0,February
95,          Estats Units  ,34718.0,February
96,          Mèxic  ,1864.0,February
97,          Resta d'Amèrica   ,13275.0,February
98,          Sud-àfrica  ,833.0,February
99,          Resta d'Àfrica  ,7046.0,February
100,          Japó  ,14072.0,February
101,          Xina  ,15185.0,February
102,          Corea Del Sud  ,4437.0,February
103,          Resta d'Àsia  ,17665.0,February
104,          Austràlia  ,2554.0,February
105,          Resta del món  ,20904.0,February
106,Nombre de viatgers            ,651046.0,March
107,     residents a Espanya       ,131111.0,March
108,     residents a l'estranger       ,519935.0,March
109,          Alemanya  ,41673.0,March
110,          Àustria  ,5780.0,March
111,          Bèlgica  ,11374.0,March
112,          Bulgària  ,1276.0,March
113,          Xipre  ,283.0,March
114,          Croàcia  ,496.0,March
115,          Dinamarca  ,7173.0,March
116,          Eslovàquia  ,993.0,March
117,          Eslovènia  ,669.0,March
118,          Estònia  ,264.0,March
119,          Finlàndia  ,4690.0,March
120,          França  ,54093.0,March
121,          Grècia  ,3131.0,March
122,          Hongria  ,2452.0,March
123,          Irlanda  ,5278.0,March
124,          Itàlia  ,44151.0,March
125,          Letònia  ,869.0,March
126,          Lituània  ,867.0,March
127,          Luxemburg  ,559.0,March
128,          Malta  ,134.0,March
129,          Països Baixos  ,15483.0,March
130,          Polònia  ,6421.0,March
131,          Portugal  ,8751.0,March
132,          Regne Unit  ,60013.0,March
133,          República Txeca  ,2108.0,March
134,          Romania  ,3673.0,March
135,          Suècia  ,9421.0,March
136,          Resta Unió Europea  ,4299.0,March
137,          Islàndia  ,578.0,March
138,          Liechtenstein  ,102.0,March
139,          Noruega  ,5064.0,March
140,          Rússia  ,13116.0,March
141,          Suïssa  ,11792.0,March
142,          Turquia  ,3773.0,March
143,          Ucraïna  ,2087.0,March
144,          Resta d'Europa  ,7886.0,March
145,          Argentina  ,7595.0,March
146,          Brasil  ,7717.0,March
147,          Canada  ,5811.0,March
148,          Estats Units  ,55322.0,March
149,          Mèxic  ,3575.0,March
150,          Resta d'Amèrica   ,16235.0,March
151,          Sud-àfrica  ,1439.0,March
152,          Resta d'Àfrica  ,7932.0,March
153,          Japó  ,14666.0,March
154,          Xina  ,9255.0,March
155,          Corea Del Sud  ,3868.0,March
156,          Resta d'Àsia  ,23537.0,March
