,total_values,Country,Turistes_BCN,Total_BCN_Hotel,difference_in_thousands,percentage
0,1538600.0,Alemanya,848232.2522313922,448968.0,399264.2522313922,47.07015692707656
2,4574200.0,França,2521762.6206660825,628802.0,1892960.6206660825,75.06498054785537
4,1188900.0,Itàlia,655442.1712452243,473853.0,181589.1712452243,27.70483487509462
8,2061000.0,Regne Unit,1136232.0758149612,668994.0,467238.07581496116,41.12171146724891
12,864000.0,Estats Units,476324.3636604204,634293.0,-157968.63633957962,-33.16408909375001
