,total_values,Country,Turistes_BCN,Total_BCN_Hotel,difference_in_thousands
0,1417900.0,Alemanya,830134.8667015159,425383.0,404751.86670151586
1,401700.0,Bèlgica,235182.43596445373,,
2,4136700.0,França,2421904.8614741242,655510.0,1766394.8614741242
3,311000.0,Irlanda,182080.50182958704,,
4,1196700.0,Itàlia,700629.3779404077,509106.0,191523.37794040772
5,736600.0,Països Baixos,431255.6194458965,,
6,707100.0,Nordic countries,413984.3178254051,,
7,173300.0,Portugal,101461.57867224254,,
8,2086800.0,Regne Unit,1221754.3125980136,678619.0,543135.3125980136
9,726600.0,Rússia,425400.94093047566,,
10,246900.0,Suïssa,144552.01254573968,,
11,2255100.0,Resta d'Europa,1320288.5520125458,,
12,1359800.0,Estats Units,796119.184526921,846595.0,-50475.81547307898
13,1081600.0,Rest d'America,633242.0282279142,,
14,2292200.0,Resta del món,1342009.409304757,,
