,total_values,Country,Turistes_BCN,Total_BCN_Hotel,difference_in_thousands
0,1538600.0,Alemanya,848232.2522313922,448968.0,399264.2522313922
1,435100.0,Bèlgica,239871.2160053807,,
2,4574200.0,França,2521762.6206660825,628802.0,1892960.6206660825
3,354000.0,Irlanda,195160.67677753337,,
4,1188900.0,Itàlia,655442.1712452243,473853.0,181589.1712452243
5,737400.0,Països Baixos,406529.61315184494,,
6,744500.0,Nordic countries,410443.85271433217,,
7,215700.0,Portugal,118915.70051105635,,
8,2061000.0,Regne Unit,1136232.0758149612,668994.0,467238.0758149612
9,561500.0,Rússia,309555.70624459034,,
10,323400.0,Suïssa,178290.85556456013,,
11,1835200.0,Resta d'Europa,1011748.23170093,,
12,864000.0,Estats Units,476324.3636604204,634293.0,-157968.6363395796
13,836800.0,Rest d'America,461328.96702666645,,
14,1868600.0,Resta del món,1030161.696685025,,
