,total_values,Country,Turistes_BCN,Total_BCN_Hotel,difference_in_thousands,percentage
0,1417900.0,Alemanya,830134.866701516,425383.0,404751.8667015159,48.75736256082939
2,4136700.0,França,2421904.8614741242,655510.0,1766394.861474124,72.93411436479732
4,1196700.0,Itàlia,700629.3779404077,509106.0,191523.37794040766,27.33590454105933
8,2086800.0,Regne Unit,1221754.3125980136,678619.0,543135.3125980136,44.455362833388094
12,1359800.0,Estats Units,796119.1845269209,846595.0,-50475.81547307898,-6.340233529615707
