Hotel establishments. Travellers. By origin
Catalonia. 
Value
Units: Thousands.
"Source: Idescat, based on the INE's Hotel Occupancy Survey."
"(1) Asturias, Cantabria, Castile and Leon, Galicia, La Rioja and Navarra."
"(2) Canary Is, Castile-La Mancha, Extremadura, Murcia and Ceuta and Melilla."
"(3) Denmark, Finland, Norway and Sweden."
(4) Rest EU: the data after July 2013 includes Croatia.
 
Note: Definitive data from January 2011 to May 2018.
(p) Provisional data
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=conj&n=10288&col=1&lang=en
,Total travellers,Domestic tourism,Andalusia,Aragon,Balearic Is,Catalonia,Valencia,Madrid,Basque Country,rest AACC North (1),rest AACC South (2),Foreign tourism,Germany,Belgium,France,Ireland,Italy,Netherlands,Nordic countries (3),Portugal,United Kingdom,Rest EU(4),Russia,Switzerland,Rest of Europe,Japan,United States,Rest of America,Rest of the world
06/2011,1819.7,671.4,34.4,24.9,9.2,367.6,41.7,72.4,33.6,53.1,34.7,1148.3,132.1,29.7,185.9,16.4,73.1,44.6,42.3,14.5,130.9,70.1,95.9,21.9,33.8,13.3,100.9,68.8,73.9
05/2011,1536.3,546.6,31.2,18.8,9.4,281.5,36.0,73.4,25.4,41.3,29.5,989.7,76.9,27.3,167.2,12.1,61.2,54.6,47.6,11.8,129.1,62.9,50.0,26.3,33.0,13.3,85.0,64.8,66.7
04/2011,1442.8,593.3,32.6,19.7,10.4,289.1,38.9,76.2,43.9,51.7,30.9,849.4,67.7,27.1,194.6,8.7,69.5,29.9,43.0,26.1,90.3,49.5,20.2,22.5,34.0,10.5,51.3,47.9,56.7
03/2011,1057.6,494.3,26.8,13.2,9.2,256.3,31.9,65.2,24.2,40.7,26.6,563.3,44.0,15.8,100.4,7.3,59.0,21.3,31.6,15.8,57.7,36.8,13.6,12.2,17.6,17.6,37.0,42.1,33.7
02/2011,844.6,406.4,23.0,10.1,11.1,208.2,26.5,57.2,17.2,31.6,21.4,438.2,31.0,9.3,87.8,6.0,37.7,15.9,22.2,9.9,48.9,27.6,6.9,7.9,14.7,16.3,28.6,28.2,39.3
01/2011,676.4,331.1,18.6,9.3,8.8,171.9,20.4,47.1,13.6,24.9,16.5,345.3,21.1,7.5,58.1,4.0,47.6,11.1,14.5,9.4,30.6,19.8,8.7,6.0,12.8,13.7,22.0,28.6,29.9
12/2010,830.5,439.2,17.1,11.2,12.3,244.0,30.3,59.4,19.3,28.5,17.2,391.3,25.3,6.7,80.6,3.5,52.3,12.2,12.9,9.2,33.5,23.4,7.5,8.1,18.0,12.7,26.0,24.6,34.8
11/2010,879.8,395.1,22.1,10.6,10.8,201.0,24.3,55.5,16.7,32.0,22.2,484.6,33.7,10.7,97.2,6.5,39.1,15.3,29.1,12.2,47.9,29.8,9.5,9.1,20.3,15.9,41.0,29.9,37.4
10/2010,1450.3,588.6,30.0,16.4,10.2,327.2,36.6,76.4,23.1,41.3,27.5,861.7,70.8,22.0,174.8,10.5,59.5,39.3,53.0,15.8,102.2,45.7,17.8,21.7,26.2,16.5,64.2,58.8,62.7
09/2010,1546.6,550.8,23.7,19.1,8.0,309.7,31.1,68.4,20.6,45.2,24.8,995.7,80.2,38.8,150.6,14.2,62.4,52.7,43.7,14.5,140.4,66.9,65.9,20.7,37.5,15.5,68.7,58.4,64.7
08/2010,2054.8,825.2,41.7,39.8,8.6,446.3,52.8,95.6,41.6,64.6,34.3,1229.6,97.3,44.3,305.9,15.3,120.9,65.1,35.2,19.3,151.2,67.0,73.9,16.6,33.2,13.0,56.7,51.2,63.6
07/2010,1975.4,769.4,46.5,32.0,10.3,400.8,40.1,99.2,39.6,63.2,37.7,1206.0,101.4,69.5,210.8,16.5,74.4,69.9,63.6,17.1,140.4,76.0,66.2,29.7,30.2,13.1,82.0,63.7,81.4
06/2010,1619.4,684.3,28.1,25.3,11.3,386.0,37.7,67.9,32.4,57.0,38.6,935.2,70.4,29.5,144.1,12.5,63.6,37.6,48.7,14.4,128.5,66.5,58.7,17.5,24.7,12.2,76.9,58.7,70.7
05/2010,1586.7,643.1,35.6,19.3,10.6,326.6,37.8,89.5,33.4,52.9,37.2,943.6,91.6,24.9,208.1,13.8,64.4,48.8,41.5,15.5,115.1,51.9,25.5,19.6,25.7,14.4,74.2,49.3,59.4
04/2010,1348.6,581.0,33.1,19.1,10.2,303.1,39.0,73.6,30.7,41.9,30.2,767.6,50.2,26.8,179.5,8.7,73.9,28.6,38.7,15.6,96.7,46.3,11.6,18.0,33.2,14.8,43.5,38.8,42.9
03/2010,1011.1,496.7,31.9,14.9,8.8,244.9,30.4,74.7,26.0,41.1,23.9,514.5,47.2,9.1,83.4,8.6,53.8,16.6,32.8,19.8,53.6,30.2,8.2,10.8,14.9,14.4,38.9,34.2,38.1
02/2010,811.7,409.5,26.8,11.3,10.0,219.6,22.3,54.3,17.7,31.4,16.1,402.2,26.8,8.3,78.3,6.6,40.3,13.9,23.2,13.2,46.7,19.3,5.4,7.0,8.7,14.3,28.0,25.4,36.8
01/2010,664.9,359.5,19.2,10.5,9.4,183.5,26.4,49.1,15.3,26.5,19.6,305.4,21.3,5.3,52.6,3.9,40.9,10.1,13.0,7.3,32.6,16.8,6.9,4.9,8.8,8.7,19.7,24.4,28.2
12/2009,755.8,403.0,21.6,11.9,9.7,217.0,26.2,45.7,17.5,32.7,20.7,352.8,19.5,7.4,79.5,3.5,52.9,12.2,12.2,7.4,29.7,21.4,4.6,6.2,8.1,11.1,22.0,22.6,32.7
11/2009,783.9,378.8,21.7,11.7,10.4,182.1,25.9,50.4,17.8,36.5,22.3,405.1,28.3,12.0,73.2,5.4,38.6,15.5,23.0,8.4,45.5,20.5,5.7,6.8,12.5,13.8,37.5,25.5,33.0
10/2009,1246.1,521.3,25.9,17.6,10.5,275.0,36.4,67.0,20.4,42.8,25.7,724.8,66.6,17.3,147.7,11.5,46.5,39.4,39.5,11.4,105.8,39.3,11.9,17.4,15.4,15.8,55.1,39.8,44.3
09/2009,1445.3,592.4,31.4,21.5,8.9,324.4,31.3,74.5,21.3,51.5,27.6,852.9,74.3,35.7,134.3,17.5,51.7,43.1,30.5,11.3,151.1,53.0,34.7,25.9,20.3,15.3,55.4,51.1,47.7
08/2009,1858.1,787.7,43.4,35.4,8.3,438.5,43.7,88.9,35.3,61.4,32.8,1070.4,86.1,48.3,265.1,19.8,105.8,79.0,25.5,14.6,152.1,61.9,42.7,14.3,19.0,12.2,45.4,33.1,45.7
07/2009,1690.3,678.1,40.6,29.5,10.4,353.6,37.0,81.8,31.2,60.9,33.0,1012.3,113.2,76.2,161.4,17.1,58.5,74.8,47.1,13.2,151.2,56.7,40.5,22.0,19.1,8.3,59.8,41.1,52.1
06/2009,1468.1,634.7,30.7,27.7,9.3,339.6,35.6,72.0,30.5,56.1,33.2,833.4,88.5,32.5,124.1,16.0,54.8,45.3,33.4,13.0,148.6,57.4,37.2,15.3,17.0,9.6,64.2,32.7,43.8
05/2009,1432.4,591.1,27.5,17.9,9.9,318.7,32.4,75.7,26.0,48.0,35.0,841.4,80.6,27.4,200.9,14.6,56.9,44.9,30.4,11.5,138.0,42.4,19.2,15.0,17.4,12.2,55.7,34.2,40.1
04/2009,1221.0,565.2,25.8,17.6,10.6,281.3,50.0,70.3,39.4,45.4,24.9,655.8,51.4,28.2,155.2,11.0,69.1,31.4,26.6,12.9,83.5,30.2,7.6,13.5,14.4,11.7,37.4,28.1,43.6
03/2009,823.7,401.0,22.8,12.4,9.8,202.4,25.4,54.2,17.6,31.3,24.9,422.7,30.3,11.3,68.5,8.6,51.7,16.4,24.4,16.5,60.8,22.4,3.8,6.7,12.4,14.5,29.7,16.5,28.0
02/2009,710.1,364.8,19.0,11.6,8.9,191.7,23.4,48.0,13.1,30.7,18.3,345.3,25.4,6.8,61.5,6.0,35.7,14.2,15.2,10.0,43.4,18.9,3.4,6.2,12.0,14.9,21.3,16.5,33.7
01/2009,601.7,320.7,17.9,9.7,9.6,160.5,21.3,48.3,10.4,26.8,16.2,281.0,19.8,5.5,42.5,5.4,37.9,10.6,12.8,8.7,35.2,12.0,5.7,4.5,7.7,10.4,19.6,17.6,25.3
12/2008,689.1,385.2,17.7,9.9,10.3,211.2,25.9,48.5,12.1,31.5,18.1,303.8,18.6,7.1,62.8,4.5,44.3,10.9,11.0,8.1,35.1,15.1,5.7,5.0,10.3,10.3,16.6,15.9,22.6
11/2008,767.4,364.0,21.2,12.0,10.1,180.3,22.5,51.4,12.6,31.5,22.3,403.4,29.2,10.3,70.9,6.7,36.7,15.2,22.0,9.1,57.4,20.2,4.7,8.1,14.2,11.8,34.8,21.3,30.6
10/2008,1230.0,488.4,25.5,16.1,9.9,267.6,31.8,58.5,15.2,35.5,28.4,741.6,70.3,22.5,139.6,11.1,48.9,43.8,37.9,13.7,134.4,29.6,11.2,20.4,23.7,12.2,47.4,33.0,41.9
09/2008,1445.8,551.9,30.1,20.4,9.0,301.4,28.2,64.3,19.9,49.2,29.5,893.9,84.7,33.2,129.5,17.1,59.3,49.5,35.1,14.6,171.1,55.7,46.8,28.3,26.8,15.2,47.0,35.5,44.5
08/2008,1847.5,714.2,39.0,34.6,9.0,392.7,42.3,73.7,27.9,55.7,39.4,1133.2,93.3,45.2,257.6,23.8,130.6,55.6,30.5,18.1,180.9,57.4,58.8,16.0,27.1,9.6,36.6,35.0,57.1
07/2008,1757.4,659.6,40.8,29.4,11.7,354.0,32.0,73.5,23.3,58.0,37.0,1097.8,99.0,64.2,153.2,21.4,69.9,88.1,49.8,16.3,184.5,69.0,59.6,23.4,20.2,12.4,58.7,43.2,65.1
06/2008,1548.8,619.0,31.8,25.3,11.2,344.0,30.4,66.0,22.0,50.2,38.1,929.8,91.0,32.2,122.4,19.4,57.9,45.9,36.7,13.8,189.5,60.2,56.0,14.5,22.2,13.9,71.0,33.9,49.2
05/2008,1463.4,554.4,27.0,18.1,11.5,294.7,33.6,67.2,20.8,48.0,33.4,909.0,90.2,26.0,174.0,16.2,64.5,48.2,37.2,12.5,184.8,46.5,18.7,14.1,22.6,10.8,56.5,35.3,51.1
04/2008,1122.8,477.6,29.3,16.1,9.1,247.5,29.9,59.0,19.7,36.3,30.5,645.2,48.6,16.1,149.7,10.1,72.9,33.4,36.1,11.0,99.2,30.2,7.6,13.6,18.4,12.5,27.7,23.0,35.0
03/2008,1081.2,548.9,32.9,15.3,10.7,280.4,41.9,67.6,22.9,44.5,32.6,532.3,56.1,13.3,87.7,9.9,58.2,21.1,25.9,15.7,82.2,24.2,4.4,13.1,13.5,18.6,30.6,25.8,32.0
02/2008,797.6,409.9,24.2,11.0,10.9,214.0,25.1,53.9,14.3,32.2,24.4,387.7,33.0,9.4,63.9,7.1,40.1,15.8,19.2,10.8,58.4,18.1,4.2,6.3,8.6,15.0,23.5,19.5,34.7
01/2008,660.8,343.5,18.6,10.1,7.0,174.6,25.0,51.1,11.6,26.2,19.2,317.3,24.6,6.6,48.8,7.1,45.6,11.7,15.0,8.6,43.5,15.6,5.0,5.5,8.1,10.0,18.5,19.0,24.0
12/2007,718.5,373.2,20.4,10.1,8.3,208.1,26.5,48.4,12.0,23.5,16.0,345.3,23.4,7.6,66.2,4.9,48.0,11.9,12.5,7.7,48.1,15.3,6.2,7.0,12.0,10.6,20.9,17.6,25.4
11/2007,875.4,419.9,27.7,13.3,7.1,216.4,29.9,58.0,14.0,29.7,23.7,455.5,32.5,9.8,84.8,7.4,40.0,16.8,24.0,10.6,72.5,22.1,7.3,9.8,11.0,14.4,38.6,24.1,29.8
10/2007,1263.8,519.2,25.6,14.9,7.9,296.4,35.2,65.9,14.0,31.6,27.7,744.6,66.6,25.8,130.7,12.3,48.4,38.7,39.8,12.6,156.0,30.0,8.2,18.5,14.8,12.0,51.1,33.2,46.0
09/2007,1493.3,565.0,34.3,20.9,10.5,323.5,30.4,59.7,16.7,43.7,25.2,928.2,94.2,34.6,138.5,17.6,66.6,52.8,34.7,14.5,187.7,52.2,44.9,19.1,28.6,12.3,44.7,33.7,51.7
08/2007,1839.3,730.3,38.8,37.6,9.3,402.2,45.7,74.5,28.2,57.4,36.6,1109.1,90.1,37.1,252.5,16.8,150.0,54.9,24.4,20.3,189.6,50.9,48.2,12.7,31.3,9.4,47.7,32.7,40.5
07/2007,1721.8,668.9,32.5,33.2,9.4,358.5,35.7,86.6,25.0,57.2,30.7,1052.9,95.8,58.0,158.4,16.8,78.7,82.3,54.5,16.9,189.8,55.0,45.3,22.2,25.0,9.0,62.7,39.1,43.4
06/2007,1586.4,698.4,36.7,32.1,14.7,390.7,37.8,80.2,25.4,49.5,31.3,888.0,90.6,32.0,118.8,15.6,56.9,49.5,36.2,14.7,187.5,48.8,44.7,16.4,20.7,14.8,62.7,34.0,44.3
05/2007,1394.4,559.7,32.9,18.5,11.4,280.1,36.0,70.9,24.9,51.1,34.0,834.7,89.9,27.0,152.5,15.0,53.9,44.7,30.5,12.4,177.9,38.2,14.0,16.5,27.8,12.8,50.0,34.1,37.6
04/2007,1287.6,597.9,36.0,24.3,11.5,309.1,43.3,69.4,25.3,44.4,34.6,689.7,59.2,25.7,142.1,13.3,88.3,27.6,37.7,14.7,116.6,27.9,5.7,14.4,18.2,11.4,31.0,26.3,29.5
03/2007,973.2,460.6,26.8,11.6,11.7,229.8,33.6,65.3,15.5,35.8,30.5,512.6,43.5,9.6,79.6,10.3,68.2,16.2,26.1,26.8,91.4,21.2,5.1,12.0,9.9,19.3,30.9,20.5,22.0
02/2007,741.5,372.4,20.0,8.9,6.9,195.1,26.0,53.9,13.5,31.1,17.0,369.1,28.0,9.2,62.1,9.2,37.0,12.8,17.7,12.8,66.8,18.2,4.9,7.1,7.3,13.2,20.8,16.8,25.1
01/2007,675.3,344.7,18.0,10.6,7.7,181.0,26.5,48.1,11.7,23.0,18.1,330.6,24.6,7.6,48.5,8.0,46.5,13.0,12.9,10.7,51.5,13.9,6.1,8.0,10.2,10.8,18.3,17.3,22.4

